City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
604,Soyo,AO,77.0,broken clouds,-6.13,12.37,Hotel Mpampa
605,Pafos,CY,84.2,few clouds,34.77,32.42,Elysium Hotel
608,Vila Velha,BR,81.0,few clouds,-20.33,-40.29,Hotel Vitória Palace
610,Ati,TD,82.87,broken clouds,13.22,18.34,
616,Mpulungu,ZM,78.35,broken clouds,-8.76,31.11,Nawelah Lodge
617,Luganville,VU,75.2,broken clouds,-15.53,167.17,The Espiritu Hotel
619,Kalmunai,LK,77.88,light rain,7.42,81.82,VS Villa
620,Sabzevar,IR,87.8,clear sky,36.21,57.68,پارکینگ وسایل سنگین جنوب
623,Bafata,GW,79.52,moderate rain,12.17,-14.75,
625,Sorong,ID,79.39,moderate rain,-0.88,131.25,The Waigo Hotel
630,Abapo,BO,88.59,scattered clouds,-18.83,-63.47,
633,Ahmadnagar,IN,80.56,overcast clouds,19.08,74.73,STARiHOTELS Maliwada Ahmednagar
637,Black River,JM,86.0,scattered clouds,18.03,-77.85,Idlers' Rest Beach Hotel
638,San Diego De Los Banos,CU,87.42,clear sky,22.65,-83.37,Casa Nalúa - Nalúa Enea
641,Linhares,BR,81.57,overcast clouds,-19.39,-40.07,Hotel Conceição
642,Saint-Georges,GD,87.8,scattered clouds,12.06,-61.75,Siesta Hotel
643,Mattawa,US,77.0,clear sky,46.74,-119.9,Sun & Sand Mobile Home Park
644,Rincon,US,81.0,broken clouds,32.3,-81.24,Bent tree subdivision
646,Aquiraz,BR,87.8,few clouds,-3.9,-38.39,Hotel Laguna Blu
649,Bang Saphan,TH,78.35,overcast clouds,11.21,99.51,Ladawan Boutique Hotel
656,Ipoh,MY,77.0,light rain,4.58,101.08,Ritz Garden Hotel
663,Mitsamiouli,KM,78.8,few clouds,-11.38,43.28,Foyer ADM
666,Parrita,CR,79.0,light rain,9.52,-84.32,Beso del Viento
667,Las Choapas,MX,80.6,moderate rain,17.93,-94.08,Hotel Jysmak
669,Vila,PT,82.99,clear sky,42.03,-8.16,Hotel Castrum Villae
671,Sao Joao Da Barra,BR,86.0,clear sky,-21.64,-41.05,Pousada Porto De Canoas
672,Basco,PH,83.25,broken clouds,20.45,121.97,Nathaniel's Lodge
